origin_id,school_id,cci_cost
nta_BK44,school_Q265,7071.267764587075
nta_BK44,school_Q460,6833.889911659996
nta_BK44,school_M501,3746.664453289242
nta_BK44,school_K753,2849.8198734768935
nta_BK44,school_Q440,5560.167260400067
nta_BK44,school_K583,5282.274610544436
nta_BK44,school_X558,6500.760930820017
nta_BK44,school_X249,7417.1522577240985
nta_BK44,school_M157,5145.020307438399
nta_BK44,school_X252,6063.696059666383
nta_BK44,school_M296,4504.00333398223
nta_BK44,school_M467,5775.972597173298
nta_BK44,school_K771,2120.7278740995293
nta_BK44,school_X348,6500.760930820017
nta_BK44,school_K642,2939.72939791649
nta_BK44,school_Q690,6794.68237858116
nta_BK44,school_K410,2350.614610742872
nta_BK44,school_K764,5282.274610544436
nta_BK44,school_K721,3067.3999042002515
nta_BK44,school_K637,2298.4912097169786
nta_BK44,school_K344,2523.869623013115
nta_BK44,school_X374,6038.177735553148
nta_BK44,school_X395,5933.452827046388
nta_BK44,school_R440,5865.651893197177
nta_BK44,school_M135,3685.3014423315044
nta_BK44,school_Q400,6133.12195959978
nta_BK44,school_Q600,5178.423052581893
nta_BK44,school_M522,3598.5980826716855
nta_BK44,school_X432,6895.421355869798
nta_BK44,school_X237,6474.279280083012
nta_BK44,school_X264,6561.314476849717
nta_BK44,school_K498,4012.270001660413
nta_BK44,school_K508,3209.93688316044
nta_BK44,school_K419,3135.367703002397
nta_BK44,school_K564,4708.561372948387
nta_BK44,school_K769,4014.621489984673
nta_BK44,school_Q480,4692.975401805235
nta_BK44,school_Q236,5067.461612107328
nta_BK44,school_Q485,5655.6817675061
nta_BK44,school_M299,4556.871981275443
nta_BK44,school_X520,5607.044263768162
nta_BK44,school_K359,4161.529420210603
nta_BK44,school_X692,6175.831357432071
nta_BK44,school_K490,4285.884942841498
nta_BK44,school_M433,5458.424971344159
nta_BK44,school_K728,2483.1184580403274
nta_BK44,school_K514,3303.1137141817503
nta_BK44,school_K510,3896.402211890078
nta_BK44,school_K559,2661.3280038101902
nta_BK44,school_Q501,4654.489387067842
nta_BK44,school_X418,6475.122013361974
nta_BK44,school_K617,2939.72939791649
nta_BK44,school_X522,5631.067396636431
nta_BK44,school_M285,5266.919656912622
nta_BK44,school_K474,4969.148466781855
nta_BK44,school_K569,2501.765032047551
nta_BK44,school_X655,5577.363148245815
nta_BK44,school_K698,4314.86557002533
nta_BK44,school_X275,6925.873177753264
nta_BK44,school_X559,5720.614143502725
nta_BK44,school_K396,3668.3334455886406
nta_BK44,school_Q241,6833.889911659996
nta_BK44,school_K350,3135.367703002397
nta_BK44,school_K053,3712.2141203326946
nta_BK44,school_X397,
nta_BK44,school_X660,6561.314476849717
nta_BK44,school_X284,
nta_BK44,school_X168,5354.088084336157
nta_BK44,school_K733,4708.561372948387
nta_BK44,school_M515,3657.1445499500305
nta_BK44,school_X404,6061.313763560338
nta_BK44,school_K370,2187.0769336037115
nta_BK44,school_K561,4587.671862820391
nta_BK44,school_M138,5039.962006470496
nta_BK44,school_X253,6925.873177753264
nta_BK44,school_X704,5680.315572156188
nta_BK44,school_Q610,4899.943668464279
nta_BK44,school_K356,3616.4890626637625
