source,target,type,shape_id,weight
sub_214S,sub_215S,transit_travel,sub_nan,120.0
sub_215N,sub_214N,transit_travel,sub_2..N01R,120.0
sub_215N,sub_214N,transit_travel,sub_5..N24R,120.0
sub_215N,sub_214N,transit_travel,sub_nan,120.0
sub_215S,sub_216S,transit_travel,sub_2..S01R,140.0
sub_215S,sub_216S,transit_travel,sub_2..S03R,150.0
sub_215S,sub_216S,transit_travel,sub_5..S03R,140.0
sub_215S,sub_216S,transit_travel,sub_5..S12R,150.0
sub_215S,sub_216S,transit_travel,sub_nan,155.2173913043478
sub_216N,sub_215N,transit_travel,sub_2..N01R,120.0
sub_216N,sub_215N,transit_travel,sub_5..N24R,120.0
sub_216N,sub_215N,transit_travel,sub_nan,120.0
sub_216S,sub_217S,transit_travel,sub_2..S01R,96.0
sub_216S,sub_217S,transit_travel,sub_2..S03R,90.0
sub_216S,sub_217S,transit_travel,sub_5..S03R,100.0
sub_216S,sub_217S,transit_travel,sub_5..S12R,90.0
sub_216S,sub_217S,transit_travel,sub_nan,97.82608695652173
sub_217N,sub_216N,transit_travel,sub_2..N01R,102.27272727272727
sub_217N,sub_216N,transit_travel,sub_5..N24R,90.0
sub_217N,sub_216N,transit_travel,sub_nan,100.9090909090909
sub_217S,sub_218S,transit_travel,sub_2..S01R,66.0
sub_217S,sub_218S,transit_travel,sub_2..S03R,60.0
sub_217S,sub_218S,transit_travel,sub_5..S03R,70.0
sub_217S,sub_218S,transit_travel,sub_5..S12R,60.0
sub_217S,sub_218S,transit_travel,sub_nan,84.78260869565217
sub_218N,sub_217N,transit_travel,sub_2..N01R,60.0
sub_218N,sub_217N,transit_travel,sub_5..N24R,60.0
sub_218N,sub_217N,transit_travel,sub_nan,60.0
sub_218S,sub_219S,transit_travel,sub_2..S01R,84.0
sub_218S,sub_219S,transit_travel,sub_2..S03R,90.0
sub_218S,sub_219S,transit_travel,sub_5..S03R,80.0
sub_218S,sub_219S,transit_travel,sub_5..S12R,90.0
sub_218S,sub_219S,transit_travel,sub_nan,82.17391304347827
sub_219N,sub_218N,transit_travel,sub_2..N01R,60.0
sub_219N,sub_218N,transit_travel,sub_5..N24R,60.0
sub_219N,sub_218N,transit_travel,sub_nan,60.0
sub_219S,sub_220S,transit_travel,sub_2..S01R,90.0
sub_219S,sub_220S,transit_travel,sub_2..S03R,90.0
sub_219S,sub_220S,transit_travel,sub_5..S03R,90.0
